Wall time,Step,Value
1690924983.1841474,1887154,416.8687744140625
1690925000.774997,1887391,410.14996337890625
1690925139.3933384,1890047,477.1139831542969
1690925646.600568,1899520,464.9765319824219
1690925799.241537,1901977,372.98907470703125
1690926166.2241762,1907962,261.71533203125
1690926573.6231363,1914914,234.01564025878906
1690926657.8429518,1916175,236.29495239257812
1690926778.5129197,1918409,276.7557373046875
1690927238.801044,1925975,225.71133422851562
1690927621.1975293,1932760,294.7935791015625
1690927705.6536267,1934495,299.9875183105469
1690927970.0507152,1939159,379.6556701660156
1690928080.6553693,1941153,382.87396240234375
1690928504.6827204,1948568,373.34967041015625
1690928834.7481256,1954542,373.5707702636719
1690928902.1777248,1955777,343.70880126953125
1690928993.769987,1957508,364.19158935546875
1690929290.1705198,1962868,345.2110595703125
1690929307.7689888,1963101,318.56756591796875
1690929595.5679307,1968129,332.8121643066406
1690929631.8049915,1968630,304.7783203125
1690929742.716704,1970810,252.12754821777344
1690929778.7943656,1971311,254.33924865722656
1690929810.47233,1972049,249.08673095703125
1690930019.027935,1975760,205.36233520507812
1690930091.164513,1976680,204.5260467529297
1690930486.2817392,1983614,272.431884765625
1690930654.048485,1986706,279.18023681640625
1690931018.3300085,1993375,271.9044189453125
1690931207.3248568,1996801,246.14320373535156
1690931241.4024186,1997250,244.5655517578125
1690931351.6730602,1999063,277.6545104980469
1690931558.1714423,2002232,270.61077880859375
1690931889.3507771,2008209,353.1500244140625
1690932618.9252772,2022350,433.9020690917969
1690933041.5743055,2029854,439.460693359375
1690933109.0532587,2031242,474.38690185546875
1690933140.2432241,2031742,469.47601318359375
1690933266.2077062,2034261,470.0280456542969
1690933569.0447264,2039799,509.023193359375
1690933780.8491893,2043902,545.0313720703125
1690933975.0577464,2047242,491.30517578125
1690934083.0061822,2048999,452.42755126953125
1690934198.9720616,2050923,467.4145812988281
1690934645.7331858,2059332,464.3843688964844
1690935688.1185634,2078500,446.11724853515625
1690935777.239683,2080500,477.89801025390625
1690935996.7594059,2084445,521.5372314453125
1690936372.6152296,2090776,476.5343322753906
1690936403.754115,2091276,477.4621276855469
1690936456.348134,2092324,483.40606689453125
1690936842.7018857,2098574,514.7556762695312
1690936850.1705103,2098575,508.34576416015625
1690936879.5481832,2099075,511.22296142578125
1690936996.7583065,2100793,518.9346313476562
1690937385.6118665,2108001,439.4664001464844
1690937854.6066227,2116486,419.82244873046875
1690937955.9837976,2118276,409.1383056640625
1690938029.7764406,2119776,422.052001953125
1690938371.4004066,2125900,432.2665100097656
1690938589.128895,2129921,406.81683349609375
1690939331.4294908,2143903,425.4083557128906
1690939482.4756167,2146675,407.3721008300781
1690939495.0185301,2146794,398.05865478515625
1690939577.7176678,2148226,374.30548095703125
1690939673.0395408,2149891,337.1880798339844
1690939722.650709,2150649,336.6147766113281
1690939863.6407201,2153386,363.2701416015625
1690940022.9565015,2156696,359.0991516113281
1690940085.929476,2158196,391.7204895019531
1690940316.6292818,2162775,452.0710144042969
1690940807.2927885,2171163,487.44207763671875
1690940895.077114,2173163,525.8549194335938
1690941068.936418,2175962,531.421630859375
1690941297.6550026,2180325,513.379150390625
1690942463.4053211,2200234,355.37591552734375
1690942715.1214602,2204427,320.6085205078125
1690942869.7771587,2207639,388.1564025878906
1690943112.651586,2211816,373.1202392578125
1690943136.6393642,2212316,396.20819091796875
1690943591.2081578,2220659,382.91754150390625
1690943837.603608,2224408,399.6705322265625
1690944292.3776307,2232022,416.8229675292969
1690944823.6078546,2242082,298.4472961425781
1690944888.3615558,2243539,303.04193115234375
1690945355.5420566,2251784,294.3292541503906
1690945691.7145164,2258132,335.5111999511719
1690945746.5627165,2259000,310.8009948730469
1690946193.0992937,2266531,316.6206970214844
1690946335.934384,2269398,347.7330017089844
1690946705.68523,2276449,431.4327697753906
1690947204.611502,2285996,507.0197448730469
1690947490.2677445,2291721,547.553466796875
1690947625.1823435,2294091,521.3193969726562
1690947632.6984348,2294092,521.3193969726562
1690948074.7228146,2302751,669.3402099609375
1690948131.5583403,2303711,632.1718139648438
1690948402.8247094,2308745,622.0192260742188
1690948591.6511397,2311591,542.6760864257812
1690948775.5174413,2315053,614.8173217773438
1690949084.1993842,2319245,428.593017578125
1690949238.991867,2321880,406.3351135253906
1690949416.0739996,2325314,453.9586486816406
1690949455.358226,2326051,459.8564147949219
1690949462.8521357,2326052,445.88189697265625
1690949830.3248987,2332712,379.5141906738281
1690949895.8117204,2334212,423.6035461425781
1690950077.7470818,2337944,487.5327453613281
1690950756.0746844,2350587,576.3541259765625
1690951044.446773,2355635,619.6815185546875
1690951258.5451431,2359587,626.953125
1690951597.6996922,2365487,668.364990234375
1690951772.5071907,2368773,589.0270385742188
1690951780.0162413,2368774,581.0099487304688
1690952031.4706695,2373571,566.789794921875
1690952115.429215,2375097,513.8104248046875
1690952137.169526,2375597,524.0235595703125
1690952559.813843,2383694,530.1765747070312
1690952623.1046808,2384569,538.4544067382812
1690952894.1990051,2389453,549.826904296875
1690953476.6118062,2400770,623.2890014648438
1690953633.1888442,2403797,690.4058227539062
1690953685.8719594,2404621,693.6390991210938
1690953805.2091913,2406420,666.032958984375
1690953963.8989809,2409401,627.80419921875
1690954020.6551943,2410371,601.1214599609375
1690954108.512455,2411662,602.9950561523438
1690954290.564004,2415080,605.861083984375
1690954738.240722,2423485,615.1171875
1690954904.2558405,2426570,633.0267333984375
1690955268.7540753,2433840,607.9132690429688
1690955569.542632,2439017,584.989501953125
1690956454.8517404,2455678,595.4329223632812
1690956693.7403774,2460416,608.9149780273438
1690956739.8530738,2461147,558.05810546875
1690957347.32577,2473257,640.6966552734375
1690957368.8753073,2473757,639.2907104492188
1690957686.9554276,2480041,578.060546875
1690957878.2719672,2483672,607.5028076171875
1690957960.7846987,2484853,577.4103393554688
1690958144.3134875,2488068,618.698974609375
1690958244.217417,2489658,613.6658935546875
1690958373.4835808,2492276,646.0808715820312
1690958652.0554886,2496712,515.0087280273438
1690958758.921107,2498646,528.20263671875
1690958843.3040798,2500015,476.784912109375
1690959195.4965131,2506811,499.7508850097656
1690959391.4901192,2510806,534.4788818359375
1690959449.3652012,2511576,498.49615478515625
1690959833.236754,2519487,556.4387817382812
1690960017.6610396,2523487,597.9722900390625
1690960183.3592718,2526415,577.2625122070312
1690960413.189453,2530816,607.1100463867188
1690960826.9829671,2538537,728.9241943359375
1690960935.5611224,2541037,750.8306274414062
1690961996.1741593,2559380,619.1182861328125
1690962017.3054657,2559880,620.565185546875
1690962089.2987814,2561332,622.9279174804688
1690962643.3991332,2572563,727.2647094726562
1690963477.9307516,2588971,951.569580078125
1690963644.0245013,2592452,967.2527465820312
1690963806.1310167,2595774,1028.8702392578125
1690963827.5000057,2596274,1052.3992919921875
1690964543.8746371,2611927,1068.7926025390625
1690964764.2180853,2616892,1140.49072265625
1690964967.5304496,2620740,1122.49755859375
1690965028.2941496,2621583,1123.5926513671875
1690965263.1886826,2625561,976.9956665039062
1690966427.1543372,2649450,878.6343994140625
1690966906.9327357,2659128,909.1791381835938
1690967489.132073,2671959,1078.0711669921875
1690967565.7055538,2673384,1079.4080810546875
